,start_time,fixed_period,steps
0,2022-09-08 15:20:00,0,12.0
1,2022-09-08 16:00:00,0,10.0
2,2022-09-08 22:20:00,0,19.0
3,2022-09-09 00:05:00,1,10.0
4,2022-09-09 05:40:00,1,28.0
5,2022-09-09 05:50:00,1,10.0
6,2022-09-09 09:40:00,1,176.0
7,2022-09-09 09:45:00,1,28.0
8,2022-09-09 09:50:00,1,19.0
9,2022-09-09 11:25:00,1,17.0
10,2022-09-09 11:45:00,1,30.0
11,2022-09-09 12:10:00,1,45.0
12,2022-09-09 12:30:00,1,43.0
13,2022-09-09 13:05:00,1,21.0
14,2022-09-09 14:45:00,1,11.0
15,2022-09-09 16:00:00,1,43.0
16,2022-09-09 16:05:00,1,15.0
17,2022-09-09 17:40:00,1,13.0
18,2022-09-09 18:25:00,1,14.0
19,2022-09-09 21:05:00,1,17.0
20,2022-09-09 21:15:00,1,11.0
21,2022-09-09 23:40:00,1,12.0
22,2022-09-09 23:45:00,1,2.0
23,2022-09-14 11:10:00,0,10.0
24,2022-09-14 12:00:00,0,56.0
25,2022-09-14 12:05:00,0,127.0
26,2022-09-14 12:10:00,0,137.0
27,2022-09-14 12:30:00,0,28.0
28,2022-09-14 12:50:00,0,14.0
29,2022-09-14 12:55:00,0,9.0
30,2022-09-14 14:05:00,0,11.0
31,2022-09-14 14:30:00,0,8.0
32,2022-09-14 14:45:00,0,21.0
33,2022-09-14 17:35:00,0,32.0
34,2022-09-14 17:40:00,0,4.0
35,2022-09-14 17:55:00,0,19.0
36,2022-09-14 19:00:00,0,14.0
37,2022-09-14 19:05:00,0,273.0
38,2022-09-14 19:10:00,0,387.0
39,2022-09-14 19:15:00,0,351.0
40,2022-09-14 19:20:00,0,249.0
41,2022-09-14 19:25:00,0,112.0
42,2022-09-14 19:30:00,0,247.0
43,2022-09-14 19:35:00,0,243.0
44,2022-09-14 19:40:00,0,204.0
45,2022-09-14 19:45:00,0,197.0
46,2022-09-14 19:50:00,0,23.0
47,2022-09-15 00:35:00,1,13.0
48,2022-09-15 00:45:00,1,26.0
49,2022-09-15 11:05:00,1,52.0
50,2022-09-15 11:10:00,1,10.0
51,2022-09-15 11:15:00,1,13.0
52,2022-09-15 13:50:00,1,15.0
53,2022-09-15 13:55:00,1,21.0
54,2022-09-15 15:05:00,1,25.0
55,2022-09-15 15:40:00,1,48.0
56,2022-09-15 15:45:00,1,15.0
57,2022-09-15 16:35:00,1,12.0
58,2022-09-15 16:45:00,1,11.0
59,2022-09-15 16:50:00,1,16.0
60,2022-09-15 17:15:00,1,57.0
61,2022-09-15 17:20:00,1,61.0
62,2022-09-15 17:25:00,1,16.0
63,2022-09-15 17:30:00,1,74.0
64,2022-09-15 17:45:00,1,59.0
65,2022-09-15 17:50:00,1,94.0
66,2022-09-15 17:55:00,1,43.0
67,2022-09-15 18:00:00,1,34.0
68,2022-09-15 18:05:00,1,61.0
69,2022-09-15 18:50:00,1,12.0
70,2022-09-15 18:55:00,1,47.0
71,2022-09-15 19:00:00,1,44.0
72,2022-09-15 19:10:00,1,7.0
73,2022-09-15 19:15:00,1,91.0
74,2022-09-15 19:20:00,1,215.0
75,2022-09-15 20:30:00,1,69.0
76,2022-09-15 20:35:00,1,113.0
77,2022-09-15 20:45:00,1,51.0
78,2022-09-15 21:15:00,1,20.0
79,2022-09-15 21:40:00,1,170.0
80,2022-09-15 21:45:00,1,17.0
81,2022-09-15 21:55:00,1,12.0
82,2022-09-15 22:00:00,1,12.0
83,2022-09-15 22:05:00,1,21.0
84,2022-09-16 05:55:00,2,40.0
85,2022-09-16 06:00:00,2,53.0
86,2022-09-16 06:35:00,2,35.0
87,2022-09-16 08:40:00,2,34.0
88,2022-09-16 08:50:00,2,176.0
89,2022-09-16 08:55:00,2,16.0
90,2022-09-16 09:05:00,2,41.0
91,2022-09-16 09:35:00,2,57.0
92,2022-09-16 09:40:00,2,128.0
93,2022-09-16 09:45:00,2,21.0
94,2022-09-16 10:15:00,2,20.0
95,2022-09-16 10:20:00,2,270.0
96,2022-09-16 10:25:00,2,66.0
97,2022-09-16 10:30:00,2,46.0
98,2022-09-16 10:35:00,2,133.0
99,2022-09-16 11:05:00,2,18.0
100,2022-09-18 13:45:00,10,21.0
101,2022-09-18 15:30:00,10,22.0
102,2022-09-18 17:15:00,10,20.0
103,2022-09-18 17:20:00,10,12.0
104,2022-09-18 17:25:00,10,45.0
105,2022-09-18 19:00:00,10,20.0
106,2022-09-18 19:45:00,10,19.0
107,2022-09-18 20:25:00,10,15.0
108,2022-09-18 20:40:00,10,9.0
109,2022-09-19 18:40:00,11,32.0
110,2022-09-19 18:45:00,11,33.0
111,2022-09-19 18:50:00,11,7.0
112,2022-09-19 19:40:00,11,12.0
113,2022-09-19 20:55:00,11,9.0
114,2022-09-19 21:25:00,11,12.0
115,2022-09-19 22:20:00,11,20.0
116,2022-09-19 23:30:00,11,10.0
117,2022-09-19 23:35:00,11,4.0
118,2022-09-20 08:25:00,12,15.0
119,2022-09-20 09:45:00,12,28.0
120,2022-09-20 09:50:00,12,48.0
121,2022-09-20 10:10:00,12,8.0
122,2022-09-20 10:15:00,12,17.0
123,2022-09-20 10:20:00,12,16.0
124,2022-09-20 10:50:00,12,12.0
125,2022-09-20 12:15:00,12,22.0
126,2022-09-20 13:00:00,12,8.0
127,2022-09-20 13:10:00,12,16.0
128,2022-09-20 19:20:00,12,14.0
129,2022-09-20 21:50:00,12,12.0
130,2022-09-20 21:55:00,12,21.0
131,2022-09-21 11:20:00,13,62.0
132,2022-09-21 11:55:00,13,31.0
133,2022-09-21 14:15:00,13,13.0
