,fixed_period,patient_complete_num,type
0,0,36,HR hours
1,17,15,HR hours
2,26,14,HR hours
3,1,23,HR hours
4,2,19,HR hours
5,3,19,HR hours
6,4,13,HR hours
7,5,15,HR hours
8,6,14,HR hours
9,7,15,HR hours
10,8,17,HR hours
11,9,15,HR hours
12,10,16,HR hours
13,11,15,HR hours
14,12,14,HR hours
15,13,15,HR hours
16,15,20,HR hours
17,16,17,HR hours
18,18,14,HR hours
19,21,12,HR hours
20,22,12,HR hours
21,23,16,HR hours
22,24,13,HR hours
23,25,10,HR hours
24,27,12,HR hours
25,28,10,HR hours
26,29,10,HR hours
27,32,9,HR hours
28,33,7,HR hours
29,34,4,HR hours
30,14,18,HR hours
31,19,11,HR hours
32,20,13,HR hours
33,30,10,HR hours
34,31,9,HR hours
35,43,1,HR hours
36,45,1,HR hours
37,46,1,HR hours
38,48,1,HR hours
39,53,1,HR hours
40,54,1,HR hours
41,56,1,HR hours
42,58,1,HR hours
43,61,1,HR hours
44,35,1,HR hours
45,36,1,HR hours
46,37,1,HR hours
47,38,1,HR hours
48,40,1,HR hours
49,41,1,HR hours
50,42,1,HR hours
51,0,35,Active move moment hours
52,1,23,Active move moment hours
53,2,19,Active move moment hours
54,3,18,Active move moment hours
55,4,14,Active move moment hours
56,5,13,Active move moment hours
57,6,13,Active move moment hours
58,7,16,Active move moment hours
59,8,16,Active move moment hours
60,9,15,Active move moment hours
61,10,14,Active move moment hours
62,11,16,Active move moment hours
63,12,16,Active move moment hours
64,13,16,Active move moment hours
65,15,20,Active move moment hours
66,16,18,Active move moment hours
67,17,15,Active move moment hours
68,18,15,Active move moment hours
69,21,12,Active move moment hours
70,22,12,Active move moment hours
71,23,15,Active move moment hours
72,24,12,Active move moment hours
73,25,9,Active move moment hours
74,26,13,Active move moment hours
75,27,12,Active move moment hours
76,28,10,Active move moment hours
77,29,9,Active move moment hours
78,32,8,Active move moment hours
79,33,6,Active move moment hours
80,34,1,Active move moment hours
81,14,18,Active move moment hours
82,19,12,Active move moment hours
83,20,13,Active move moment hours
84,30,9,Active move moment hours
85,31,9,Active move moment hours
86,36,2,Active move moment hours
87,37,2,Active move moment hours
88,39,1,Active move moment hours
89,40,2,Active move moment hours
90,41,2,Active move moment hours
91,47,1,Active move moment hours
92,50,1,Active move moment hours
93,52,1,Active move moment hours
94,53,1,Active move moment hours
95,55,1,Active move moment hours
96,60,1,Active move moment hours
97,61,1,Active move moment hours
98,63,1,Active move moment hours
99,65,1,Active move moment hours
100,68,1,Active move moment hours
101,35,1,Active move moment hours
102,38,1,Active move moment hours
103,42,1,Active move moment hours
104,0,42,QoR completion
105,12,22,QoR completion
106,13,25,QoR completion
107,17,23,QoR completion
108,21,22,QoR completion
109,22,24,QoR completion
110,23,22,QoR completion
111,25,21,QoR completion
112,28,18,QoR completion
113,32,11,QoR completion
114,1,30,QoR completion
115,2,29,QoR completion
116,3,27,QoR completion
117,4,27,QoR completion
118,5,22,QoR completion
119,6,26,QoR completion
120,7,24,QoR completion
121,8,23,QoR completion
122,9,18,QoR completion
123,10,26,QoR completion
124,11,20,QoR completion
125,14,22,QoR completion
126,15,26,QoR completion
127,16,25,QoR completion
128,18,20,QoR completion
129,19,23,QoR completion
130,24,20,QoR completion
131,26,22,QoR completion
132,27,15,QoR completion
133,29,22,QoR completion
134,30,17,QoR completion
135,33,12,QoR completion
136,20,16,QoR completion
137,31,11,QoR completion
138,34,8,QoR completion
139,36,4,QoR completion
140,35,6,QoR completion
141,37,2,QoR completion
142,38,3,QoR completion
143,39,1,QoR completion
144,40,2,QoR completion
145,42,3,QoR completion
146,43,2,QoR completion
147,44,2,QoR completion
148,46,2,QoR completion
149,47,1,QoR completion
150,48,1,QoR completion
151,49,1,QoR completion
152,50,1,QoR completion
153,51,1,QoR completion
154,52,1,QoR completion
155,53,1,QoR completion
156,54,1,QoR completion
157,55,1,QoR completion
158,56,1,QoR completion
159,57,1,QoR completion
160,59,1,QoR completion
161,60,1,QoR completion
162,61,1,QoR completion
163,62,1,QoR completion
164,63,1,QoR completion
165,64,1,QoR completion
166,65,1,QoR completion
167,67,1,QoR completion
168,70,1,QoR completion
169,71,1,QoR completion
170,73,1,QoR completion
171,75,1,QoR completion
172,76,1,QoR completion
173,77,1,QoR completion
174,78,1,QoR completion
175,80,1,QoR completion
176,81,1,QoR completion
177,82,1,QoR completion
178,83,1,QoR completion
179,0,42,adjustChart
